"city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","hasParkingSpace","hasBalcony","hasElevator","priceInZloty","priceInEuro"
"krakow",44,2,5,2023,4.35,0.233,"yes","yes","yes",3000,690
"krakow",55,3,10,2023,5.27,0.086,"yes","yes","yes",3500,805
"krakow",50,2,1,2023,2.1,0.676,"yes","yes","yes",3500,805
"krakow",50,2,2,2022,2.26,0.155,"yes","yes","yes",3600,828
"krakow",93,3,2,1913,1.15,0.333,"no","yes","yes",5300,1219
"krakow",35.87,2,2,1930,1.92,0.162,"no","no","no",3250,747.5
"krakow",48,3,2,1999,5.3,0.54,"no","yes","no",3300,759
"krakow",120,4,1,1860,0.62,0.167,"no","no","no",6000,1380
"krakow",50,2,1,2020,2.91,0.212,"no","yes","no",4000,920
"krakow",38,2,2,1969,2.68,0.403,"yes","yes","no",2100,483
"krakow",68,3,4,2019,0.44,0.095,"yes","no","yes",4500,1035
"krakow",33,2,4,2008,5.15,0.504,"no","yes","yes",2300,529
"krakow",55,2,1,2009,2.32,0.233,"no","yes","no",2500,575
"krakow",45.23,2,3,2014,4.24,0.441,"no","yes","yes",2450,563.5
"krakow",36,2,1,1978,7.51,0.432,"no","yes","yes",2300,529
"krakow",54,2,1,2015,4.87,0.632,"no","yes","no",2600,598
"krakow",36.1,2,2,2022,2.58,0.382,"no","no","yes",3000,690
"krakow",47,2,1,2000,1.62,0.112,"no","no","yes",2700,621
"krakow",49,2,14,1998,3.78,0.219,"yes","yes","yes",2600,598
"krakow",51,2,4,2021,2.3,0.524,"yes","no","yes",3700,851
"krakow",45,2,1,2021,8.55,1.34,"yes","yes","yes",2100,483
"krakow",53,2,4,2008,1.79,0.168,"yes","no","yes",3300,759
"krakow",48,2,7,2015,5.7,0.383,"yes","no","yes",3000,690
"krakow",37,2,1,2022,1.51,0.13,"yes","no","yes",3500,805
"krakow",45,2,1,2022,2.59,0.487,"no","yes","yes",3400,782
"krakow",60,3,7,2005,3.52,0.234,"no","yes","yes",3300,759
"krakow",26,1,4,2011,2.25,0.133,"no","no","yes",2000,460
"krakow",37,2,3,2022,6.05,0.337,"no","yes","yes",2600,598
"krakow",44,3,4,1960,6.86,0.291,"yes","yes","yes",2300,529
"krakow",40,2,2,2012,5.79,1.121,"no","no","no",2200,506
"krakow",46,2,1,2024,3.79,0.812,"yes","yes","yes",3000,690
"krakow",46,2,2,2015,2.15,0.19,"yes","yes","yes",3100,713
"krakow",40,2,3,2009,4.08,0.204,"no","no","yes",3000,690
"krakow",36,2,5,1989,7.42,0.204,"yes","yes","yes",2000,460
"krakow",51,2,7,2021,1.5,0.15,"no","no","yes",5500,1265
"krakow",76.2,4,1,2015,0.39,0.128,"yes","yes","yes",6800,1564
"krakow",53.08,2,2,2007,0.61,0.192,"yes","yes","yes",3500,805
"krakow",52.12,2,4,2007,0.61,0.192,"yes","yes","yes",3300,759
"krakow",51.66,2,4,2007,0.61,0.192,"yes","yes","yes",3500,805
