"","city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","clinicDistance","kindergartenDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasStorageRoom","priceInZloty","priceInEuro"
"1842","krakow","57,58",3,4,2016,"2,09","0,371","0,784","0,706","0,662","no","yes","yes","no",4000,"920"
"1843","krakow","60",3,5,2013,"1,37","0,144","0,506","0,151","0,067","no","no","yes","no",4800,"1104"
"1844","krakow","42",2,NA,1930,"0,45","0,123","0,675","0,336","0,348","no","no","no","yes",3100,"713"
"1845","krakow","93",3,4,2009,"0,61","0,184","0,375","0,587","0,17","yes","yes","yes","no",6800,"1564"
"1846","krakow","106",5,2,2013,"0,35","0,15","0,673","0,212","0,253","no","yes","yes","no",6500,"1495"
"1847","krakow","114",5,4,2013,"0,35","0,15","0,673","0,212","0,253","no","yes","yes","no",6500,"1495"
"1848","krakow","111",5,4,NA,"0,3","0,133","0,741","0,279","0,263","yes","yes","yes","no",6500,"1495"
"1849","krakow","32",2,1,1960,"1,52","0,144","0,169","0,15","0,272","no","no","no","no",2500,"575"
"1850","krakow","50",3,2,1998,"5,33","0,507","0,541","0,046","0,212","yes","yes","no","no",3000,"690"
"1851","krakow","114",5,2,1890,"0,46","0,059","0,65","0,314","0,1","no","yes","yes","no",6500,"1495"
"1852","krakow","45",2,NA,NA,"6,34","0,148","1,029","0,086","0,144","no","no","no","no",2200,"506"
"1853","krakow","27",1,2,2023,"1,64","0,258","0,23","0,254","0,27","no","no","yes","no",3000,"690"
"1854","krakow","65,2",3,10,1978,"3,61","0,193","0,751","0,121","0,122","yes","yes","no","no",2800,"644"
"1855","krakow","38",2,5,2019,"7,34","0,373","1,131","0,155","0,118","yes","yes","yes","no",2500,"575"
"1856","krakow","38",2,5,2016,"4,9","0,581","1,802","0,457","0,49","no","yes","yes","no",2500,"575"
"1857","krakow","42",2,4,2023,"4,62","0,42","0,877","0,348","0,279","no","yes","yes","no",2599,"597,77"
"1858","krakow","42",2,5,2005,"7,46","0,27","0,968","0,352","0,353","yes","yes","yes","no",2100,"483"
"1859","krakow","45,2",2,1,2008,"4,76","0,198","0,261","0,225","0,193","yes","yes","yes","no",2200,"506"
"1860","krakow","62",3,2,1960,"1,34","0,203","0,247","0,707","0,225","no","no","no","no",4000,"920"
"1861","krakow","55,58",3,2,2015,"0,49","0,24","0,483","0,202","0,253","no","no","yes","no",5000,"1150"
"1862","krakow","78",3,1,2010,"1,58","0,242","0,288","0,197","0,362","yes","yes","yes","no",5600,"1288"
"1863","krakow","30",1,NA,2023,"1,65","0,063","0,791","0,27","0,307","no","no","no","no",1999,"459,77"
"1864","krakow","32",1,4,2022,"7,26","0,014","0,304","0,162","0,159","no","no","yes","yes",2099,"482,77"
"1865","krakow","93",3,4,2009,"0,61","0,192","0,388","0,581","0,149","yes","yes","yes","no",6800,"1564"
"1866","krakow","55",2,1,2001,"7,36","0,185","1,863","0,296","0,583","no","yes","no","no",2990,"687,7"
"1867","krakow","35",2,2,2023,"4,21","0,356","1,218","0,162","0,312","no","no","yes","no",2800,"644"
"1868","krakow","64",2,2,2010,"1,74","0,151","0,159","0,221","0,441","no","no","yes","no",3500,"805"
"1869","krakow","51",2,2,2021,"1,34","0,286","0,138","0,378","0,14","no","no","yes","no",3400,"782"
"1870","krakow","57",3,3,2015,"2,14","0,444","0,328","0,4","0,174","yes","yes","yes","no",4800,"1104"
"1871","krakow","79,4",3,4,2008,"2,09","0,371","0,784","0,706","0,662","yes","yes","yes","yes",5000,"1150"
"1872","krakow","25,3",1,1,NA,"1,39","0,055","0,374","0,133","0,085","no","yes","no","no",2000,"460"
"1873","krakow","81,23",3,2,2022,"1,5","0,15","0,195","0,108","0,36","yes","no","yes","no",9000,"2070"
"1874","krakow","27",1,1,2015,"1,14","0,217","0,403","0,623","0,055","no","no","yes","no",3000,"690"
"1875","krakow","83",4,3,NA,"1,63","0,095","0,471","0,264","0,085","no","no","yes","no",4000,"920"
"1876","krakow","62",3,8,NA,"5,27","0,467","1,909","0,359","0,624","yes","yes","yes","no",2900,"667"
"1877","krakow","40",2,1,NA,"1,56","0,143","0,384","0,875","0,327","yes","no","no","no",2450,"563,5"
"1878","krakow","55",3,4,2019,"1,39","0,242","0,678","0,185","0,218","yes","yes","yes","no",3600,"828"
"1879","krakow","34,63",1,5,2010,"2,63","0,216","0,14","0,109","0,182","no","no","yes","no",2150,"494,5"
"1880","krakow","117",6,1,1920,"1,53","0,055","0,474","0,243","0,22","yes","no","no","yes",5900,"1357"
"1881","krakow","54",2,NA,2017,"4,79","0,627","1,523","1,228","0,597","no","yes","no","no",3600,"828"
"1882","krakow","75",3,4,2015,"0,49","0,24","0,483","0,202","0,253","no","no","yes","no",8300,"1909"
"1883","krakow","59,1",2,1,1956,"1,44","0,062","0,107","0,066","0,389","no","yes","no","yes",3450,"793,5"
"1884","krakow","36",2,3,2023,"2,5","0,7","0,587","0,305","0,116","no","yes","yes","no",3450,"793,5"
"1885","krakow","45",2,7,2015,"5,04","0,96","1,903","0,184","0,427","no","yes","yes","no",2800,"644"
"1886","krakow","51",2,7,2020,"1,76","0,41","0,313","0,38","0,381","yes","yes","yes","no",5500,"1265"
"1887","krakow","54",2,2,1900,"0,84","0,105","0,274","0,325","0,029","no","yes","no","no",3000,"690"
"1888","krakow","111",5,2,NA,"4,75","0,582","1,63","1,478","0,456","yes","yes","yes","no",6000,"1380"
"1889","krakow","32",2,1,2022,"6,75","1,009","3,26","2,439","2,102","yes","no","no","no",3000,"690"
"1890","krakow","31",1,2,2018,"2,48","0,438","0,549","0,125","0,393","no","yes","yes","no",2450,"563,5"
"1891","krakow","120",4,2,1900,"1,09","0,101","0,519","0,401","0,273","yes","no","no","no",8580,"1973,4"
"1892","krakow","92",4,NA,1930,"1,41","0,039","0,333","0,299","0,083","no","no","no","no",5800,"1334"
"1893","krakow","40",2,3,2022,"0,3","0,055","0,669","0,127","0,087","yes","yes","yes","no",4000,"920"
"1894","krakow","30",1,2,NA,"0,37","0,136","0,822","0,352","0,24","yes","yes","no","no",2200,"506"
"1895","krakow","48",3,1,1970,"3,8","0,255","0,835","0,281","0,319","yes","no","yes","no",2600,"598"
"1896","krakow","67",2,NA,1999,"5,93","0,623","2,527","1,95","1,624","no","yes","no","yes",4000,"920"
"1897","krakow","31,5",1,2,1998,"3,33","0,108","0,102","0,111","0,115","yes","yes","no","no",2000,"460"
"1898","krakow","90,13",3,3,2007,"2,24","0,211","0,286","0,07","0,166","no","yes","yes","yes",7900,"1817"
"1899","krakow","26",1,4,1900,"2","0,273","0,52","0,34","0,21","no","no","no","no",2800,"644"
"1900","krakow","69,79",3,4,2017,"4,3","0,317","0,571","0,065","0,154","no","yes","yes","no",5200,"1196"
"1901","krakow","43",2,5,2015,"7,34","0,373","1,131","0,155","0,118","no","yes","yes","no",2400,"552"
"1902","krakow","56",3,2,1970,"4,82","0,206","0,536","0,343","0,511","yes","yes","yes","no",2500,"575"
"1903","krakow","90",3,3,2008,"2,95","0,256","0,476","0,418","0,059","yes","yes","yes","no",7900,"1817"
"1904","krakow","106",5,2,2015,"0,4","0,103","0,652","0,238","0,192","no","yes","yes","no",6500,"1495"
"1905","krakow","56",2,1,2003,"2,53","0,051","0,511","0,144","0,271","yes","yes","yes","no",3500,"805"
"1906","krakow","48",2,NA,2010,"3,78","0,178","0,368","0,163","0,263","no","yes","no","yes",2200,"506"
"1907","krakow","54",2,5,2013,"1,68","0,32","0,293","0,293","0,349","yes","yes","yes","no",3500,"805"
"1908","krakow","41,5",2,2,1900,"0,65","0,215","0,379","0,209","0,337","yes","yes","no","yes",2600,"598"
"1909","krakow","54",2,3,NA,"2,41","0,26","0,299","0,052","0,224","no","no","no","no",2500,"575"
"1910","krakow","29",1,NA,1980,"4,15","0,211","0,36","0,157","0,25","no","yes","yes","yes",1800,"414"
"1911","krakow","40",2,4,2022,"2,14","0,444","0,328","0,4","0,174","yes","yes","yes","no",3000,"690"
"1912","krakow","62,01",3,2,2022,"9,3","1,106","3,94","0,526","0,508","yes","yes","no","no",3200,"736"
"1913","krakow","50",3,3,2023,"2,95","0,281","0,549","0,352","0,439","yes","no","no","no",4400,"1012"
"1914","krakow","57",4,1,2023,"2,95","0,281","0,549","0,352","0,439","yes","yes","no","no",4500,"1035"
"1915","krakow","65",3,NA,1996,"4,05","0,218","1,158","0,19","0,582","no","yes","yes","no",2900,"667"
"1916","krakow","33",1,3,2023,"2,86","0,425","0,799","0,26","0,451","yes","no","no","no",2849,"655,27"
"1917","krakow","36,6",2,3,2021,"3,06","0,35","0,802","0,161","0,364","yes","yes","yes","no",2850,"655,5"
"1918","krakow","65",3,NA,2000,"3,87","0,289","0,863","0,23","0,346","yes","yes","yes","no",2900,"667"
