"","city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","clinicDistance","kindergartenDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasStorageRoom","priceInZloty","priceInEuro"
"83","szczecin",29,2,3,2022,1.04,0.173,0.332,0.261,0.121,"no","no","yes","no",2500,575
"84","szczecin",38.17,2,4,1930,1.04,0.173,0.332,0.261,0.121,"no","no","no","yes",2400,552
"85","szczecin",47,2,2,2011,4.08,0.088,1.201,0.755,0.13,"yes","yes","yes","no",2500,575
"86","szczecin",50,2,1,1920,3.18,0.134,0.764,0.458,0.314,"yes","no","no","yes",1800,414
"87","szczecin",74,3,3,2005,1.15,0.604,1.037,0.371,0.517,"yes","yes","yes","no",3900,897
"88","szczecin",49.6,2,1,2012,1.64,0.171,0.446,0.59,0.408,"yes","yes","yes","yes",3500,805
"89","szczecin",113.35,4,3,2011,0.2,0.136,0.881,0.14,0.503,"no","no","no","no",5000,1150
"90","szczecin",63.02,3,2,1934,2.85,0.261,0.844,0.259,0.265,"no","yes","no","yes",2500,575
"91","szczecin",90,3,3,1900,0.79,0.288,0.285,0.245,0.085,"no","yes","no","no",3400,782
"92","szczecin",50,2,2,1930,4.32,0.467,0.179,0.28,0.249,"no","no","no","no",2400,552
"93","szczecin",26.8,1,4,1960,1.69,0.218,0.358,0.102,0.02,"no","no","yes","no",2000,460
"94","szczecin",43,2,5,2021,1.04,0.173,0.332,0.261,0.121,"no","no","yes","no",2150,494.5
"95","szczecin",25.7,1,4,1972,2.07,0.117,0.101,0.169,0.195,"no","no","yes","yes",1800,414
"96","szczecin",53,2,4,1920,1.04,0.173,0.332,0.261,0.121,"no","no","no","no",2500,575
"97","szczecin",25.2,1,1,1980,2.81,0.083,0.816,0.821,0.221,"no","no","no","no",1700,391
"98","szczecin",31.29,2,3,2023,1.04,0.173,0.332,0.261,0.121,"no","yes","yes","no",2200,506
"99","szczecin",37,2,2,2003,3.53,0.109,1.004,0.178,0.141,"yes","no","no","no",1900,437
"100","szczecin",28.3,1,7,1970,1.79,0.17,1.251,0.41,0.187,"yes","yes","yes","no",1700,391
"101","szczecin",43,2,3,1960,0.3,0.072,0.73,0.114,0.338,"no","yes","no","yes",2500,575
"102","szczecin",59,2,4,2009,2.15,0.251,0.59,0.309,0.248,"yes","no","yes","no",2800,644
"103","szczecin",65,3,2,2012,4.88,0.27,0.357,0.422,0.201,"yes","no","yes","no",3500,805
"104","szczecin",64.8,3,2,1990,1.32,0.169,0.079,0.125,0.088,"no","yes","yes","no",2600,598
"105","szczecin",36,2,8,1970,1.39,0.187,0.11,0.102,0.043,"yes","no","yes","yes",1400,322
"106","szczecin",38,2,2,2020,0.92,0.371,0.319,0.63,0.359,"no","yes","yes","no",2400,552
"107","szczecin",56,3,1,1938,4.16,0.309,0.765,0.535,0.732,"no","no","no","no",2200,506
"108","szczecin",25.8,1,4,2021,1.59,0.308,0.364,0.272,0.259,"no","no","no","no",2000,460
